StudentID,FirstName,LastName,DOB,DepartmentID
1,아름,최,2005-09-30,9
2,영희,윤,2000-03-15,4
3,아름,손,2002-11-05,7
4,지연,권,2003-05-24,1
5,영숙,이,2002-06-23,3
6,춘자,안,1999-05-12,8
7,영미,김,2002-11-18,3
8,현정,김,1999-01-20,4
9,정자,안,2004-11-02,1
10,지원,이,2002-01-29,7
11,은주,김,2005-05-01,5
12,상현,김,2001-12-26,7
13,지우,최,2003-11-06,1
14,현지,장,2002-08-18,9
15,성호,서,2002-01-20,10
16,광수,박,2005-12-08,3
17,상현,김,2000-09-11,3
18,정웅,서,2001-11-16,3
19,정웅,박,2005-04-16,1
20,정남,박,1999-03-09,2
21,병철,이,2000-11-04,6
22,준서,김,2005-07-02,4
23,정숙,박,2001-11-16,7
24,진우,박,2006-03-03,7
25,민재,김,2001-11-30,7
26,영길,박,2006-03-13,10
27,정호,서,2000-12-27,1
28,시우,박,2001-01-17,8
29,진우,최,1999-11-05,8
30,영환,이,2003-11-24,7
31,예준,이,1999-02-26,8
32,채원,김,1999-05-20,4
33,성현,김,1999-11-21,6
34,시우,이,2002-08-02,5
35,지민,류,2003-02-03,2
36,은영,이,2001-03-27,5
37,지영,김,2003-10-19,2
38,예은,김,2002-07-13,1
39,민지,한,2004-10-22,1
40,영미,이,1998-12-28,2
41,예은,문,2005-11-22,7
42,성진,김,1998-09-08,1
43,은영,고,2006-01-12,6
44,재현,정,2000-02-28,10
45,영자,류,2003-12-17,6
46,지영,이,2005-04-03,3
47,수진,고,2005-02-26,4
48,상철,박,2000-06-02,8
49,명자,박,2005-01-18,3
50,미정,한,2001-01-24,3
51,은영,이,2001-03-11,4
52,경숙,허,2003-03-20,2
53,현주,김,1999-08-17,6
54,영숙,김,1999-03-20,9
55,민준,배,2000-11-15,4
56,아름,김,2002-06-23,4
57,민수,한,2002-03-07,10
58,채원,김,2002-10-02,6
59,진우,김,2000-11-05,6
60,채원,김,2004-06-06,5
61,유진,문,2000-09-09,9
62,지후,안,2004-06-08,4
63,지혜,서,2005-03-06,10
64,정웅,한,2003-07-02,1
65,현정,박,2002-05-19,5
66,현지,강,2000-01-15,2
67,민재,김,2001-12-02,1
68,영환,최,1998-10-14,4
69,지은,이,2000-01-01,9
70,영희,박,2003-12-09,4
71,중수,윤,2005-08-19,3
72,서현,최,2001-12-13,10
73,현준,이,2000-03-31,4
74,지혜,민,2000-06-25,4
75,아름,김,2003-02-28,10
76,영일,김,2002-04-11,1
77,미경,박,1999-01-05,2
78,정순,박,2000-08-30,9
79,예은,황,2005-06-23,6
80,현지,문,1998-06-16,10
81,현숙,하,2004-04-03,3
82,경수,안,2004-07-13,7
83,채원,손,2004-01-18,3
84,주원,문,1999-04-22,10
85,민수,최,1999-02-16,1
86,성민,김,2002-04-13,10
87,서연,박,2001-01-24,2
88,서준,김,2001-10-23,10
89,수빈,김,2004-05-25,1
90,준서,김,2001-05-12,2
91,민재,김,1999-03-07,9
92,병철,이,2001-04-05,5
93,현우,이,1998-10-24,10
94,서영,이,1999-02-12,6
95,준호,김,2005-03-03,7
96,정호,남,1999-03-20,1
97,현정,박,2003-09-19,3
98,예은,이,2002-02-25,6
99,영자,장,1999-01-05,3
100,미정,송,2005-04-20,5
